"columna_1","columna_2"
"Cancelación a 10 días de la estancia para el 15 de agosto a Torrevieja Airbnb","Llevo años utilizando Airbnb, y el anfitrión me acaba de cancelar a día 5 de agosto una reserva para el 15 de agosto en Torrevieja, para 8 personas y con piscina que cogí con tiempo... porque no tiene la licencia...y la señora de atención me dice que si si se me va a devolver el dinero... Y que alternativas? Ninguna  Una vergüenza"
"indignante","Un desastre. Tenía la confirmación de mi alojamiento el Oporto. Cuando llegué, cansada del viaje, al mediodía con 38 grados y cargada de maletas, me dicen en el apartamento que lo habían cancelado el día anterior y no entienden por qué Airbnb no me avisó de la cancelación. La respuesta de esta ""empresa"" por no llamarlos de otra manera, es que me devolverían el dinero, pero ninguna solución para alojarme. Es indignante"
"Cuidado con Airbnb .","Cuidado con Airbnb,han cogido el monopoilo de las casas y son capaces de cualquier cosa.En mi caso el propietario de una vivienda me canceló la solicitud por estar ocupada, el dinero nada más hacer la reserva me lo retienen , y una semana después siguen sin realizar la devolución de un montante importante.Buscaré otras opciones a esta plataforma, son demasiado piratas."
"Quería poner una queja a Airbnb","Quería poner una queja a Airbnb, es una empresa que engañan a mi me han engañado y no me devuelven el dinero. Echan la culpa a la anfitriona y es MENTIRA, yo hice todo con ellos no con la anfitriona .Cuidado con esta empresa a principio te dicen que te devuelven el dinero o luego nada. Ya he hecho una queja en consumo.Ojo cuidado con esta empresa"
"La casa de los horrores","Tuve una experiencia horrible en un alojamiento de Airbnb: ruidos constantes, cucarachas y falta de limpieza.Solicité reembolso y envié pruebas, pero Airbnb lo rechazó y cerró el caso sin una revisión justa.¿Así cuidan a sus huéspedes? Pido que se reabra el caso.@Airbnb @Airbnb_ES #AirbnbFail #AirbnbES"
"Apartamento Balcón con Wifi, Puerto de Santa maría","Todo parecia que iba a estar muy bien a la llegada pero pronto nos dimos cuenta que el apartamento esta muy muy anticuado y muchos de los utiles estan rotos o apunto de romperse y caerse una total decepcion,por no comentar de los bichos que salen de la nevera que ya llevamos matados como 3,no solo es coger el dinero de los apartamentos sino que este apartamento el numero 27 necesita cambios de camas cambiar el sofa que minimo tiene 20 años,el baño la ducha enana y no traga si estas 10 min se te va a salir el agua de la pila la griferia del baño esta toda suelta la ducha pasa igual,la vitroceramica que tiene 40 min pa hacer unos filetes de pollo,al fuego maximo casi no calienta,la sarten es solo 1 bastante deteriorada y doblada se pegan las comidas,las camas incomodisimas todos los colchones de muelle muy desgastados y se notan muchisimos los muelles por no hablar del sofa que es un autentico desastre, es todo una autentica vergüenza tenerlo asi,lo unico son las vistas no tiene ninguna cosa mas,no volvere a este lugar,OJO ESTAMOS DISFRUTANDO SOLO DE UNA SEMANA,MAS DIAS SERIA INSUFRIBLE.la gente que se lo piense antes de venir aqui a este edificio."
"Airbnb me ha dejado sin vacaciones","Airbnb me ha dejado sin vacaciones, me ha cancelado la reserva de mi alojamiento sin motivo ninguno son unos estafadores han dejado a mis hijos sin vacaciones ya no hay nada disponible !!!"
"He sido super anfitriona en Airbnb…","He sido super anfitriona en Airbnb durante años, pero en los últimos tiempos la plataforma ha caído en picado. Personas maleducadas e incompetentes realizan gestiones terribles que generan situaciones complicadas, abusivas y parecidas a la estafa a viajeros y anfitriones. Pronóstico un mal futuro a Airbnb."
"Gran decepción con el trato de Airbnb a los anfitriones","Después de años siendo Súper Anfitriona en Airbnb, cuidando cada detalle de cada estancia y ofreciendo un servicio impecable, me he encontrado con una situación profundamente injusta: un huésped me ha dejado una reseña incoherente con la experiencia real, con una puntuación de “2 en calidad” a pesar de haber recibido atención excelente, limpieza perfecta y sin una sola queja durante su estancia.He aportado pruebas, contexto y argumentos sólidos. He seguido el proceso formal. He confiado en el criterio de la plataforma. Y sin embargo, Airbnb ha decidido no eliminar esa reseña.El mensaje que me queda es claro: ni siquiera a los Súper Anfitriones, que sostenemos la calidad de la plataforma día tras día, se nos protege frente a valoraciones evidentemente injustas.Una decepción enorme. No por una crítica puntual, sino por la falta de respaldo de Airbnb cuando más se necesita."
"estoy muy enfadada con esta empresa","estoy muy enfadada con esta empresa, cuando todo va bien todo es precioso, que si consultas, que si superanfitrion...pero en cuanto hay un problema que te den... me viene un jeta de huesped, me deja una evaluacion fatal, todo falso, una gentuza de cuidado y les pido que quiten esta evaluacion, dandoles datos reales y pasan de mi, alguien esta usando otra aplicacion? que me lo diga, gracias"
