"columna_1","columna_2"
"Desde hace un año estoy usando Airbnb.","Desde hace un año estoy usando Airbnb.No tengo nada negativo que decir, todo lo contrario.Me encanta trabajar con ellos, tienen un equipo muy profesional"
"Todo perfecto","Todo perfecto, lo he usado más de 10 ocasiones y sin ningún problema."
"Muy satisfecho","Muy satisfecho. Todas mis vacaciones las gestiono ya con Airbnb. En Francia tuve un percance y tuvimos que dejar la casa y nos lo resolvieron rápida y eficazmente.No puedo mas que recomendarlo. Sobre todo si como yo sois cuatro y el ir a un hotel ya te supone mucho dinero."
"excelente atención por parte de Airbnb","Es la primera vez que hago una reserva a través de Airbnb, encuentro un alojamiento para el fin de semana que encaja en mi presupuesto, solicito reserva y el dueño la acepta. Por lo que todo ok, cojo los vuelos. A los días me dice que cancele la reserva porque ha sido un error, que tenía otra reserva de antes. Le digo que no es mi problema y que yo no voy a cancelar y pagar los gastos de gestión. A partir de aquí, me comunico con Airbnb para comentar el problema y que además para esas fechas la ciudad está casi al completo de reservas y que no encuentro nada dentro de presupuesto, porque los alojamientos disponibles tienen un precio desmesurado. Airbnb me llamó por teléfono, me ayudaron a buscar alojamientos alternativos, consiguieron que la reserva la cancelara el dueño y me ofrecieron una compensación (descuento) para ayudar a pagar el nuevo alojamiento que era más caro. Aún no he viajado porque es en septiembre, pero hasta el momento puedo decir que la atención recibida por Airbnb ha sido excelente."
"havana's life casa licet y…","havana's life casa licet y pepe,recomienda 100% este sitio web airbnb nos ha yudado afitriones cubano a rentar eficazmente y muy exitoso nuestro alojamiento ,gracias a todo su equipo."
"esta empresa me ofrece un préstamo","El Sr. Norela Sánchez es mi nombre. Soy ingeniero de la construcción, estaba buscando un préstamo para invertir en un contrato en Barcelona en España y también para comprar una casa en España, pero el banco accedió a no ofrecerme esa cantidad de préstamo. Por mi parte, para abreviar la historia, me puse en contacto con la compañía de préstamos Olivia, quien el gerente de la empresa me acordó ofrecer el préstamo y me ofreció el préstamo, y hoy todo funciona con éxito, si está interesado en un préstamo. póngase en contacto con esta empresa que son muy buenos aquí está correo electrónico: (olivialoan.co.info @gmail.com) en contacto con ellos para obtener más información ok"
"havana's life,casa licet y pepe.","havana's life,casa licet y pepe.Recomendada 100% airbnb,he trabajado varios a;os con airbnb,pero mi experiencia es muy buena un equipo muy profesional,rento habitacion en la havana y de veras puedes hacer la reserva y el equipo es muyde la web muy profesional,recomiendo 100%"
"Yo soy anfitriona y nunca he tenido un inconveniente","Yo he hospedado a 5 personas en tres reservaciones que me han hecho y estoy encantada con el trato de los huéspedes, no les engaño vendiendo un servicio que no van a recibir y eso ellos lo agradecen mucho.El descontento de los que aquí opinan mal de airbnb es debido a las acciones de los anfitriones irresponsables, si yo sé que no voy a recibir a un huésped en una determinada fecha lo que hago es que oculto esa fecha en el calendario para que no me hagan reservaciones.El huésped también tiene la opción de contactar al posible anfitrión antes de hacer la reservación y con eso se puede evitar algunos inconvenientes."
"Excelente!","Excelente!Llevo dos años hospedando a través de Airbnb y hasta el momento, ante cualquier inconveniente que, por supuesto, ocurre, siempre me han respondido con mucha amabilidad y solucionando mi problema en el mínimo plazo acordado. 100% recomendable!"
"TOTALMENTE RECOMENDABLE","He decidido publicar esta opinión porque nunca resaltamos las buenas acciones de los demás y esta ocasión lo merece. Tenía una reserva hecha para irme con mi familia unos días ahora en Navidad y nos ha surgido un imprevisto de fuerza mayor, por lo que finalmente no podremos viajar. He justificado dicho imprevisto como es debido y no han tenido ningún inconveniente en devolvernos el importe íntegro (incluidos los gastos de gestión). Además, me gustaría destacar la amabilidad, educación y atención con la que nos han tratado.Muchas gracias por todo."
"esta gran empresa primero te hace una …","esta gran empresa primero te hace una entrevista en la wep,para saber tus  preferencias.con ello te ayuda a elegir el lugar y sus  sitios que visitar o participar.a mi familia y a mi nos a ayudado un monton.gracias airbnb"
"Viaje a Bulgaria","El apartamento era tal y como aparecía en la foto. Amabilidad y buen trato en todo momento.Perfecto"
"Excelente como huéspedes","He utilizado Airbnb 4 veces dentro de España y por el momento todo ha ido de maravilla. Las casas eran tal cual se anunciaban y los anfitriones so han portado muy bien. Eso sí, siempre hemos escogido sitios que tenían buenas valoraciones por parte de anteriores huéspedes. Antes de escoger un sitio siempre leemos las evaluaciones de cada sitio/anfitrión y de momento, estamos encantados."
"Excelente servicio","Levo mas de una año utilizando esta Web y mi experiencia en el servicio prestado ante cualquier consulta, la solución y todo lo relacionado con las reservas a sido de un 10. No tengo quejas. Muy puntuales en el pago."
"Hay que saber usarlo","Soy amfitriona, o sea, que ofrezco una habitación en mi casa a través de Airbnb. En cuatro años que llevo recibiendo a personas de todo el mundo en mi hogar, he tenido problemas un 1% de las veces, y con problemas me refiero a personas molestas, muy sucias, o que tengan actitudes extrañas. El 99% restante suelen ser encantadores.Para mí, una gran ventaja de Airbnb es la posibilidad de evaluaciones mútuas para huéspedes y para amfitriones, que garantizan la sinceridad, ya que uno debe escribir su evaluación antes de poder leer la que han escrito sobre él.Aquí he leido malas experiencias de algunos viajeros. Por supuesto que habrá amfitriones deshonestos, aunque es extraño que tengan buenas evaluaciones en su perfil.Lo que a veces pasa es que hay viajeros que NO leen la descripción del alojamiento que están reservando, y luego se quejan de lo que para ellos son ""sorpresas"", pero que estaban perfectamente explicadas en el anuncio.Algunos viajeros realizan la reserva a través de la opción de ""reserva inmediata"" que ofrece la plataforma, y luego preguntan si se puede fumar, si la habitación tiene baño privado, si pueden usar la cocina... Por suerte la gran mayoría de usuarios de Airbnb toma sus precauciones antes de reservar.Luego, por supuesto, todos tenemos nuestro caràcter, hay gente más agradecida y de buen conformar, hay gente muy exigente que por más que te esfuerces siempre te encontrarán un ""pero"".Yo he mejorado mi nivel de inglés exponencialmente, y he conocido a personas excepcionales que siempre serán bienvenidas a mi hogar."
"La mejor opción","Airbnb es la mejor opción para alquileres vacacionales. A pesar de que varias veces me han rechazado reservas nunca me han cobrado por adelantado ni un solo euro, como si ocurre con Wimdu, que te cobran aunque no te hayan aceptado la reserva. Ademas, el precio definitivo es el precio que aparece en la primera página, incluyendo el precio por noche total, los gastos de limpieza que exige o no el anfitrión y la tarifa de servicio de Airbnb, no te van incluyendo más gastos según vas reservando el alojamiento, como sí ocurre con Wimdu. Por último, los anfitriones están verificados, igual que los apartamentos y aunque he estado en alguno mejor o más bonito que otro, siempre he sido consciente pues son los alojamientos son fieles a las fotos que se publican en la página. No hay engaño."
"Genial, todo estupendo","Soy anfitrion, y tambien he sido huesped. Todo genial, sin problemas, puntual con los pagos, y si tienes dudas o problemas, llamas a un telefono local, y se desviven por solucionarte las dudas o problemas que tengas.

Chapó."
