"columna_1","columna_2"
"Es una vergüenza como tienen Madrid…",""
"Hice una reserva con Airbnb y","Hice una reserva con Airbnb y, al día siguiente, me la cancelaron diciendo que no se había verificado correctamente la foto de mi DNI. Me puse en contacto con el servicio de atención al cliente y no me dieron ninguna solución; simplemente me decían que era decisión del anfitrión, sin asumir ninguna responsabilidad.Tuve que volver a contactar directamente con el anfitrión, quien me informó que Airbnb pone los precios sin consultarle y que suelen tener problemas con la verificación y la gestión de las reservas. Al final, tuve que reservar directamente con él y me costó 100 € más.Una experiencia decepcionante, poco profesional y totalmente desorganizada. No volveré a reservar con Airbnb, y no la recomiendo a nadie."
"NO SON FIABLES EN ABSOLUTO!!","NO SON FIABLES EN ABSOLUTO!!! La anfitriona de Caen (Aurelie) Francia ha mentido sobre mi en el feedback, el estudio estaba sucio y sin productos de limpieza, ha MENTIDO sobre mi en el perfil, HE RECLAMADO Y AIRBNB NO HA HECHO NADA POR SOLUCIONAR ESTO"
"El anfitrión nos exigió copia del DNI cuando es ilegal","El anfitrión nos exigió mandar copias de DNI de todos los que nos íbamos a alojar. El 17 de junio de 2025, la Agencia de protección de datos de España informó que no se pueden pedir copias de DNI para alojamientos, solo datos a rellenar en un formulario. Pues bien, como AirBNB no nos ofrecía ninguna solución y la anfitriona decía que sin copia de DNI no entraríamos, debimos cancelar con una penalización de más del 50% del precio del alojamiento (cancelamos cinco días antes de ir). En fin, AirBNB nunca más. A partir de ahora a mirar hoteles de toda la vida."
"No pongo 0 porque no me deja opción.","No pongo 0 porque no me deja opción.Airbnb colabora con anfitriones que engañan y estafa a usuarios de 10 años de experiencia."
"Plaga Hormigas y AIRBNB no actua","El alojamiento tenia una plaga de hormigas por la casa, se reclamo al anfitrión, y este no tomo soluciones, el caso se traslado a AIRBNB, que consideraron que vivir con la plaga de hormigas tenía una indemnización de 18€."
"Airbnb horrible!","Frigorífico con comida en mal estado y el olor q supone, horno que jamás se limpio, plaga de cucaracha. Tengo foto del horno y video con la plaga d cucarachas de la cocina. Me dicen que me contactan pronto y nada. Horrible, la primera vez q necesito algo de ellos, y nada. Muy decepcionada con la pésima reaccion de Airbnb"
"Es una estafa sin matices","Es una estafa sin matices, Atencion al cliente es una absoluta farsa."
"La peor empresa de servicios del mundo","La peor empresa de servicios del mundo, no he visto nada igual y ya son muchas personas que opinan igual,todos los días le pido a Dios que cierre y quiebre airbnb por abusadores y publicidad engañosa,deben además aplicarles sanciones para que cierren y desaparezca, torres más altas  han caído, me dejaron abandonados en Emiratos Árabes sin sábanas en ellas camas,sin toallas,habitación sucia y no apareció nadie,hubo un corte de suministro eléctrico en el edificio y otro día corte de agua, en una de las  mejores zonas de Dubái.Se desentendieron del problema y no los denuncie porque   mis abogados comentaban que no merecia por los gastos de reclamación.Les deseo lo peor a airbnb y a sus responsables, la vida les devolverá el daño causado"
"Estafadores","Me han cobrado 560 euros de una reserva que cancelé a las 2 horas de hacerla porque una vez hecha me llegaron las condiciones del anfitrión donde decía que a las 10am del domingo tenía que dejarlo. Al cancelarla Airbnb dice que las condiciones del anfitrión es cobrar ese dinero, pero el anime dice que él no ha cobrado nada, que eso lo cobra airbnb. Intento reactivarla porque ya que voy a perder más de 500 euros prefiero pagar el total, que son 700, y al menos disfrutar del alquiler y me dicen que no se puede reactivar ya. Por supuesto les he puesto una denuncia en la comisaría y mi banco está avisado. Me he desinstalado la app y jamás volveré a usarla, y desde aqui recomiendo a la gente que use Wallapop que pone apartamentos también, booking, o cualquie otra. BOICOT A AIRBNB"
"No me pongo cero porque no me da la…","No me pongo cero porque no me da la opción. Airbnb no protege a los clientes, promocionando alojamientos inadecuados y que no se ajustan a lo que se encuentra en la web. No deberíamos alquilar más a través de esta plataforma ya que no nos respalda en lo absoluto. Experiencia fatal. Exponen a los clientes a zonas peligrosas, alojamientos sucios, inseguridad etc y no les importa"
