"columna_1","columna_2"
"Airbnb permite anfitriones que omiten información crítica sobre accesibilidad","Tuve una experiencia muy frustrante con Airbnb debido a la falta de control sobre la veracidad de la información que ofrecen los anfitriones, especialmente cuando se trata de temas tan sensibles como la accesibilidad.Antes del viaje, informamos al anfitrión de que uno de los huéspedes necesitaba usar silla de ruedas tras un accidente. Solicitamos información clara y específica, y el anfitrión nos aseguró que solo había una escalera de 12 peldaños. Confiando en esa respuesta, decidimos mantener la reserva.Al llegar, descubrimos que además de la escalera, había una pendiente empedrada y muy pronunciada de unos 50 metros, que hacía imposible el acceso en silla de ruedas. Esta información fue completamente omitida, a pesar de haber preguntado expresamente por la accesibilidad. Una omisión grave que constituyó una representación engañosa del alojamiento.Tuvimos que cancelar la estancia después de una sola noche, ya que no era posible continuar por motivos evidentes de movilidad. Pedimos a Airbnb que hiciera una excepción a su política de cancelación por tratarse de un caso de información falsa u oculta, pero el proceso de resolución fue lento y sin defensa para el cliente accidentado.Airbnb debería asumir más responsabilidad y verificar los alojamientos que afirman ser accesibles. Las personas con discapacidad no deberían exponerse a este tipo de situaciones, ni cargar con las consecuencias económicas de errores ajenos."
"Tienen anunciantes que estafan","Tienen anunciantes que estafan, pidiendo dinero como fianza a la entrada, que nunca devuelven. Y la plataforma te dice que no responde.  Evitar reservar por aquí. Cuidado con Casa Luxemburgo en Torrevieja, Alicante. Se dedica a estafar a través de Airbnb."
"Airbnb inoperantes y poco confiables","Paguen alojamiento y nunca me mandaron la confirmación.  El banco me lo cobro y habiendoles mandado los comprobantes de pago a Airbnb no reconocieron la reserva. Luego de varias horas de disputas me piden disculpas y me hacen la reserva y me lo confirma el hotel en Roma. Llegamos el día indicado y Airbnb habian dado de baja la reserva.  Son incompetentes, inoperantes y poco confiables. NO USEN ESTA PLATAFORMA."
"Llegué a un alojamiento y en las fotos…","Llegué a un alojamiento y en las fotos parecía una caseta y cuando llegamos era una especie de choza donde había que entrar agachado. Pero la cuestión es que, la anfitriona cedió a hacernos un reembolso y Airbnb intentó engañarnos confirmando que la anfitriona se había negado a devolver el dinero y que no se podía hacer nada. Muy enfadados le escribimos a la anfitriona y ella dijo que estaba esperando una solicitud de cancelación que no le había llegado pero que ella estaba de acuerdo en realizar la devolución. En concreto un tal Óscar fue el que nos confirmó que la anfitriona se había negado. Una gestión nefasta. Nos hemos sentido engañados y no volveré a reservar a través de esta plataforma JAMÁS."
"Sociedad autodestructiva","Solamente usé airbnb una vez en mi vida: fue hace años, era más joven y airbnb era entonces más barato que los hoteles/hostels; y sobre todo en aquel entonces no echaban a nadie de su vivienda para convertirla en piso turístico. La experiencia no fue ni mala ni buena, solo fue una manera económica de pasar la noche. Ahora los pisos turísticos ya no son tan rentables como antes. Sin embargo ahora no usaré Airbnb ni ninguna otra plataforma que se lucre violando los derechos humanos, ni como “anfitrión” ni como “huésped”.El artículo 47 de la Constitución Española establece que todos los españoles tienen derecho a disfrutar de una vivienda digna y adecuada; derecho que sería más fácil de conseguir si no se especulara con los pisos turísticos como se está haciendo a día de hoy."
"Airbnb está a favor del Genocidio en…","Airbnb está a favor del Genocidio en Gaza . Tiene negocio en asentamientos de colonos que han destruido las casas de los palestinos y contribuye al genocidio reiterándose en su política a favor de sangre por dinero"
"No hacer nada con Airbnb","Yo quiero hacer una reseña a Airbnb no contratar nada con ellos, he tenido una mala experiencia con ellos y encima me han borrado todos los mensajes que tuve con ellos y lo he reclamado también las grabaciones y no me quieren mandar. Me están dando largas. También me dijeron de devolver el dinero y ahora dicen que no."
"Maltratan al anfitrión","Otra vez le dan la razón al huésped, una histérica haciendo fotos de todo, mandándome mensajes,buscando detrás de los muebles y le dan la razónMal, fatal gestión al anfitrión, que realiza un enorme esfuerzo por tener la casa en condiciones, todo por hacer caso, sin pruebas a cualquier histérica o sinvergüenza"
"Me siento estafado doblemente","Realizó una reserva para 9 días, entrego documentación perosnal, la acepta el anfitrión, la pago y a menos de 24 horas y ya de camino recibo un mensaje que la cancelan.La estada es doble te quedas sin alojamiento y sin dinero, ya que según indican pueden pasar hasta 10-15 díasPara la devolución…. Adiós vacaciones. Muy aconsejable para quien quiera jugar a  la ruleta rusa.Esto ocurre el 22 de agosto porLa tarde para reserva el 23 y yo de camino a la otra parte de España, una vez en el lugar, búscate la vida sin dinero,  que a saber cuando lo tendrán disponible tu dinero , el mío el 24 aún no lo tienen.   Me reitero, un buen lugar para contratar las vacaciones si no las quieres.El día 1 a trabajar sin vacaciones y sin dinero y ya veremos.Atención al cliente de irbnb que lo sienten, que la devolución está en camino y que no es lo habitual."
"Airbnb ha demostrado una total falta de…","Airbnb ha demostrado una total falta de humanidad y flexibilidad en mi caso. Por una emergencia familiar grave y la situación crítica de los incendios en Asturias, pedí cambiar las fechas o una devolución parcial. El anfitrión se negó rotundamente, y Airbnb, en lugar de intervenir con sensibilidad, se limitó a escudarse en políticas rígidas y despersonalizadas.El resultado: perdí el dinero de una estancia que no pude disfrutar y sentí que ni mi situación personal ni el contexto de emergencia de la zona importaban.Una plataforma que presume de comunidad global debería proteger a sus usuarios en casos de fuerza mayor. En lugar de eso, dejan al viajero totalmente desamparado, favoreciendo siempre al anfitrión.Si buscas confianza y apoyo real en momentos difíciles, Airbnb no está a la altura."
